episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,9.264413886778057,0.09647499986924231,0.19823749993462114,0.3,-0.10176250006537885,-0.3392083222443188,-0.3392083222443188,0.09662904590368271,0.0,0.0,False,-3.2483385439263657e-06,235.01171875,0.31283295154571533,3.5151819588463695e-07,0.0,0.05,1.4394800018635578e-06,0.8,0.0,0.0,0.0020133480429649353,0.0020133480429649353,0.0,3.295898522992502e-07,0.9999997019767761,4.371524810791016,node_conditioned,25,True,True,False,0.1069842055439949,0.10485962778329849,0.09705904126167297,0.1291414052248001,0.06495699286460876,3.3309078216552734,-15.29039192199707,3.3148279190063477,-0.009725266967925972,0.056675251573324203,0.09482809156179428,0.0,0.0,0.0,0.0020133480429649353,0.0,0.0,100,0.2,0.1975,0.0,1002,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09662904590368271,0.030371293425559998,0.0,mpnn,6,4,16,curvature_attention_max,32,39,400800,none,normalized_version_gap_with_gain,,4008.0,0.47055676579475403,0.47055676579475403,0.37670931220054626,,,,,0.5,0.0,,,,0.09662904590368271,0.030371293425559998,0.05871915817260742,0.05871915817260742,0.09158152341842651,0.141914963722229,0.17157936096191406,0.030371299013495445,0.030371293425559998,0.030371027067303658
1,9.729665419496596,0.094125000028871,0.1461812499817461,0.3,-0.1538187500182539,-0.5127291496365414,-0.5127291496365414,0.09693791717290878,0.0,0.0,False,4.1243163195758825e-07,257.3695068359375,0.3129092752933502,6.60651267025969e-07,0.0,0.05,3.3658202482911292e-06,0.8,0.0,0.0,0.0018766896100714803,0.0020035237539559603,0.00013324670726433396,2.5634764710957825e-07,0.9999997019767761,4.370732307434082,node_conditioned,25,True,True,False,-0.4739903211593628,0.09704431146383286,0.08510890603065491,0.1163734421133995,0.05602632462978363,3.4487690925598145,-16.561182022094727,3.474802255630493,0.014927923841064228,-0.500866174697876,0.06872832775115967,0.0,0.0,0.0,0.0018766896100714803,0.0,0.0,100,0.2,0.1875,0.0,1006,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09693791717290878,0.03172696754336357,0.0,mpnn,6,4,16,curvature_attention_max,32,39,402400,none,normalized_version_gap_with_gain,,4024.0,0.4780912697315216,0.4780912697315216,0.3804667294025421,,,,,0.5,0.0,,,,0.09693791717290878,0.03172696754336357,0.05875277519226074,0.05883193016052246,0.0916818380355835,0.13589373230934143,0.17189624905586243,0.03172696754336357,0.03172696754336357,0.031726960092782974
2,10.315515407063067,0.09529999998863786,0.12074062498519197,0.3,-0.17925937501480801,-0.5975312301316524,-0.5975312301316524,0.09560266137123108,0.0,0.0,False,-4.132270134959981e-07,290.4532470703125,0.31330785155296326,1.1114114784049889e-07,0.0,0.05,3.6983503832743736e-06,0.8,0.0,0.0,0.0021506657358258963,0.002008040901273489,0.00014610926155000925,1.0375976700061074e-07,0.9999997615814209,4.037521839141846,node_conditioned,25,True,True,False,-1.021120548248291,0.12338182330131531,0.07819423824548721,0.1100434735417366,0.05301603674888611,3.954389810562134,-18.018482208251953,4.024747848510742,0.03465723095649775,-1.0342825651168823,0.08378319442272186,0.0,0.0,0.0,0.0021506657358258963,0.0,0.0,100,0.2,0.17,0.0,1022,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09560266137123108,0.018679548054933548,0.0,mpnn,6,4,16,curvature_attention_max,32,39,408800,none,normalized_version_gap_with_gain,,4088.0,0.4575220048427582,0.4575220048427582,0.3662068545818329,,,,,0.5,0.0,,,,0.09560266137123108,0.018679548054933548,0.05875048041343689,0.0721014142036438,0.09462147951126099,0.12208161056041718,0.133285790681839,0.018679548054933548,0.018679548054933548,0.018679536879062653
3,9.845629288740456,0.09689999990165234,0.10882031244342216,0.3,-0.19117968755657783,-0.637265603946406,-0.637265603946406,0.09449492394924164,0.0,0.0,False,-1.1757784932342474e-06,257.57159423828125,0.3092024028301239,-1.313677671532787e-06,0.0,0.05,7.002009169809753e-06,0.8,0.0,0.0,0.0017365781823173165,0.0015776237705722451,0.00016755783872213215,3.1127930810725957e-07,0.9999997019767761,4.5833306312561035,node_conditioned,25,True,True,False,-1.5711443424224854,0.15952129662036896,0.07338999211788177,0.10977504402399063,0.051509514451026917,3.2559313774108887,-17.693891525268555,3.3558976650238037,0.058689077764035535,-1.6904842853546143,0.06935004889965057,0.0,0.0,0.0,0.0017365781823173165,0.0,0.0,100,0.2,0.2,0.0,938,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09449492394924164,0.02549641579389572,0.0,mpnn,6,4,16,curvature_attention_max,32,39,375200,none,normalized_version_gap_with_gain,,3752.0,0.45834383368492126,0.45834383368492126,0.3608162999153137,,,,,0.5,0.0,,,,0.09449492394924164,0.02549641579389572,0.05875733494758606,0.05887773334980011,0.09174776077270508,0.1264592707157135,0.1719701886177063,0.025496412068605423,0.02549641579389572,0.025496389716863632
4,8.782038878537714,0.09780000001657754,0.10331015622999985,0.3,-0.19668984377000015,-0.6556327907122409,-0.6556327907122409,0.09618435055017471,0.0,0.0,False,4.3459837684167724e-07,199.84274291992188,0.314117968082428,-1.3715086879528826e-06,0.0,0.05,1.2964428606210276e-05,0.8,0.0,0.0,0.0007861976628191769,0.0005856238421984017,0.00024372609914280474,-4.577636616431846e-07,0.9999995827674866,4.792736530303955,node_conditioned,25,True,True,False,-2.056647539138794,0.1909618228673935,0.0748293399810791,0.11432497948408127,0.05457005649805069,2.817917585372925,-16.31853485107422,2.9339780807495117,0.07754991587686211,-2.1013739109039307,0.10113681107759476,0.0,0.0,0.0,0.0007861976628191769,0.0,0.0,100,0.2,0.1625,0.0,980,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09618435055017471,0.02124069631099701,0.0,mpnn,6,4,16,curvature_attention_max,32,39,392000,none,normalized_version_gap_with_gain,,3920.0,0.48296058177948,0.48296058177948,0.3801520764827728,,,,,0.5,0.0,,,,0.09618435055017471,0.02124069631099701,0.058779895305633545,0.0687250733375552,0.09740996360778809,0.13018375933170317,0.1361873745918274,0.02124069258570671,0.02124069631099701,0.02124064415693283
5,10.183205308616161,0.09397500006482006,0.09864257814740995,0.3,-0.20135742185259004,-0.6711913838022541,-0.6711913838022541,0.09355518966913223,0.0,0.0,False,1.074061060535314e-06,269.8985900878906,0.3071741759777069,-2.385428103934828e-07,0.0,0.05,1.7819111235439777e-05,0.8,0.0,0.0,0.0006060324958525598,0.0008217558497563004,0.000319159880746156,-8.544921570319275e-08,0.9999997019767761,4.494096755981445,node_conditioned,25,True,True,False,-2.674504280090332,0.2525253891944885,0.08150015026330948,0.12304888665676117,0.05757233500480652,3.4246809482574463,-19.183021545410156,3.5886764526367188,0.08930783775622975,-2.818319320678711,0.07218373566865921,0.0,0.0,0.0,0.0006060324958525598,0.0,0.0,100,0.2,0.1775,0.0,998,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09355518966913223,0.02502364106476307,0.0,mpnn,6,4,16,curvature_attention_max,32,39,399200,none,normalized_version_gap_with_gain,,3992.0,0.42962294816970825,0.42962294816970825,0.34740978479385376,,,,,0.5,0.0,,,,0.09355518966913223,0.02502364106476307,0.058801114559173584,0.059004405140876764,0.09185346961021423,0.12723747491836085,0.1723739504814148,0.025023633614182472,0.02502364106476307,0.025023583322763443
6,9.410706075094641,0.09302499991375952,0.09583378903058473,0.3,-0.20416621096941526,-0.6805540138795838,-0.6805540138795838,0.09267126768827438,0.0,0.0,False,-2.6202978915534914e-06,227.20445251464844,0.30545634031295776,-3.5929764408138e-07,0.0,0.05,2.6573534341878258e-05,0.8,0.0,0.0,0.004212133586406708,0.0038360755424946547,0.00037782490835525095,1.2817382355478912e-07,0.9999995827674866,4.32989501953125,node_conditioned,25,True,True,False,-3.1955819129943848,0.31897151470184326,0.0868317186832428,0.12046317011117935,0.06108604744076729,3.269195079803467,-18.362712860107422,3.494157314300537,0.12461976354381932,-3.38578724861145,0.10321183502674103,0.0,0.0,0.0,0.004212133586406708,0.0,0.0,100,0.2,0.2,0.0,1054,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09267126768827438,0.024190712720155716,0.0,mpnn,6,4,16,curvature_attention_max,32,39,421600,none,normalized_version_gap_with_gain,,4216.0,0.4704988896846771,0.4704988896846771,0.37569889426231384,,,,,0.5,0.0,,,,0.09267126768827438,0.024190712720155716,0.05880555510520935,0.06405641138553626,0.08912384510040283,0.12230311632156372,0.17242106795310974,0.02419070154428482,0.024190712720155716,0.024190625175833702
7,9.107927555665373,0.09912500000558794,0.09747939451808633,0.3,-0.20252060548191364,-0.6750686624374235,-0.6750686624374235,0.09865304827690125,0.0,0.0,False,9.181985660688952e-07,209.0612030029297,0.319431334733963,-1.1755624882425764e-06,0.0,0.05,4.570771852741018e-05,0.8,0.0,0.0,0.0009066951461136341,0.0006334207719191909,0.0005271569825708866,4.39453117451194e-07,0.9999995827674866,4.2860331535339355,node_conditioned,25,True,True,False,-3.78373122215271,0.3761030435562134,0.09379421174526215,0.12889379262924194,0.06577707827091217,3.2040884494781494,-18.344730377197266,3.465100049972534,0.14497790291149892,-3.898040771484375,0.09766558557748795,0.0,0.0,0.0,0.0009066951461136341,0.0,0.0,100,0.2,0.17,0.0,1084,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09865304827690125,0.022728729993104935,0.0,mpnn,6,4,16,curvature_attention_max,32,39,433600,none,normalized_version_gap_with_gain,,4336.0,0.4885306656360626,0.4885306656360626,0.38652610778808594,,,,,0.5,0.0,,,,0.09865304827690125,0.022728729993104935,0.058817267417907715,0.06663034111261372,0.09935277700424194,0.1268860012292862,0.17270046472549438,0.022728707641363144,0.022728729993104935,0.02272854559123516
8,9.107667672075332,0.09380000011529774,0.09563969731669203,0.3,-0.20436030268330796,-0.6812009862376603,-0.6812009862376603,0.09468477219343185,0.0,0.0,False,2.207270881626755e-06,202.28680419921875,0.3096809983253479,6.349863497234765e-07,0.0,0.05,5.635244815493934e-05,0.8,0.0,0.0,0.0009245937690138817,0.0004935115575790405,0.0006161505007185042,-1.708984314063855e-07,0.9999995827674866,5.300642967224121,node_conditioned,25,True,True,False,-4.386566162109375,0.4144694209098816,0.10436668246984482,0.14869244396686554,0.06906986981630325,2.550767421722412,-18.842981338500977,2.8131377696990967,0.17783353815230896,-4.713555812835693,0.11088791489601135,0.0,0.0,0.0,0.0009245937690138817,0.0,0.0,100,0.2,0.1875,0.0,908,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09468477219343185,0.025999179109930992,0.0,mpnn,6,4,16,curvature_attention_max,32,39,363200,none,normalized_version_gap_with_gain,,3632.0,0.46138155460357666,0.46138155460357666,0.3640110194683075,,,,,0.5,0.0,,,,0.09468477219343185,0.025999179109930992,0.05883866548538208,0.06742546260356903,0.09050703048706055,0.12404040098188804,0.17301711440086365,0.02599913999438286,0.025999179109930992,0.02599892020225525
9,9.866900753863156,0.0927000001212582,0.09416984871897512,0.3,-0.2058301512810249,-0.686100481400067,-0.686100481400067,0.09272117167711258,0.0,0.0,False,1.772642008290859e-06,238.5946502685547,0.30533361434936523,-2.206312466057625e-08,0.0,0.05,7.140254456317052e-05,0.8,0.0,0.0,0.0019601071253418922,0.001280646538361907,0.0007090718718245625,1.8615722296999593e-07,0.9999997019767761,4.850191593170166,node_conditioned,25,True,True,False,-5.076212406158447,0.5185113549232483,0.11861161887645721,0.17731843888759613,0.07263115793466568,2.9848153591156006,-20.714916229248047,3.3356528282165527,0.1992936704895092,-5.497079372406006,0.09934359788894653,0.0,0.0,0.0,0.0019601071253418922,0.0,0.0,100,0.2,0.1975,0.0,922,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09272117167711258,0.02561216615140438,0.0,mpnn,6,4,16,curvature_attention_max,32,39,368800,none,normalized_version_gap_with_gain,,3688.0,0.4501190483570099,0.4501190483570099,0.35661160945892334,,,,,0.5,0.0,,,,0.09272117167711258,0.02561216615140438,0.058846503496170044,0.06711855232715615,0.08788633346557617,0.12381301522253904,0.17328760027885437,0.0256121177226305,0.02561216615140438,0.025611817836761475
10,9.29960628375411,0.09452499995008111,0.09434742433452811,0.3,-0.20565257566547188,-0.6855085627012876,-0.6855085627012876,0.09365693479776382,0.0,0.0,False,3.908173766831169e-06,208.16461181640625,0.30770501494407654,-2.910701653036085e-07,0.0,0.05,9.604677325114608e-05,0.8,0.0,0.0,0.0010842835763469338,0.0003076601424254477,0.0008683806518092752,-9.765624753299562e-08,0.9999995827674866,4.665594577789307,node_conditioned,25,True,True,False,-5.647849082946777,0.5720322132110596,0.13447922468185425,0.22090929746627808,0.08237525820732117,2.9614555835723877,-20.250747680664062,3.347548723220825,0.21736976651716067,-5.866603851318359,0.14317819476127625,0.0,0.0,0.0,0.0010842835763469338,0.0,0.0,100,0.2,0.185,0.0,1036,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09365693479776382,0.024263150990009308,0.0,mpnn,6,4,16,curvature_attention_max,32,39,414400,none,normalized_version_gap_with_gain,,4144.0,0.47510096430778503,0.47510096430778503,0.3766385018825531,,,,,0.5,0.0,,,,0.09365693479776382,0.024263150990009308,0.05886104702949524,0.06455923318862915,0.0912325531244278,0.1252318501472473,0.1733153760433197,0.024263082072138786,0.024263150990009308,0.024262629449367523
11,10.303519429974259,0.08957499977201223,0.09196121205327018,0.3,-0.2080387879467298,-0.6934626033736793,-0.6934626033736793,0.09426786750555038,0.0,0.0,False,3.891469532391056e-06,258.4689636230469,0.3098893165588379,4.6696181925653946e-06,0.0,0.05,0.00011701395851559937,0.8,0.0,0.0,0.002017604885622859,0.001054677297361195,0.0009780973196029663,8.544921570319275e-08,0.9999997615814209,4.276638984680176,node_conditioned,25,True,True,False,-6.422184467315674,0.6923724412918091,0.14437665045261383,0.2390117645263672,0.0858212485909462,3.6068625450134277,-22.606719970703125,4.104674339294434,0.2278497790483438,-6.78122091293335,0.1896485984325409,0.0,0.0,0.0,0.002017604885622859,0.0,0.0,100,0.2,0.1475,0.0,984,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09426786750555038,0.02128009870648384,0.0,mpnn,6,4,16,curvature_attention_max,32,39,393600,none,normalized_version_gap_with_gain,,3936.0,0.45469754934310913,0.45469754934310913,0.36180567741394043,,,,,0.5,0.0,,,,0.09426786750555038,0.02128009870648384,0.05885908007621765,0.06949227452278137,0.09268426895141602,0.1147098332643509,0.1737186163663864,0.021279992535710335,0.02128009870648384,0.021279335021972656
12,9.625821706615389,0.09357499985024333,0.09276810595175675,0.3,-0.20723189404824324,-0.6907729571350456,-0.6907729571350456,0.09689004719257355,0.0,0.0,False,6.690190275548957e-06,217.24942016601562,0.3142513930797577,7.617717869834451e-07,0.0,0.05,0.00013209482131060213,0.8,0.0,0.0,0.0009700158843770623,0.00204327329993248,0.0011386367259547114,1.2207030941624453e-08,0.9999997615814209,4.487838268280029,node_conditioned,25,True,True,False,-7.023316383361816,0.70674067735672,0.17847809195518494,0.2703089714050293,0.09995626658201218,3.145732879638672,-21.961435317993164,3.6064631938934326,0.2391821500243544,-7.2667036056518555,0.20067022740840912,0.0,0.0,0.0,0.0009700158843770623,0.0,0.0,100,0.2,0.2075,0.0,1034,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09689004719257355,0.02689737267792225,0.0,mpnn,6,4,16,curvature_attention_max,32,39,413600,none,normalized_version_gap_with_gain,,4136.0,0.46469682455062866,0.46469682455062866,0.3722929060459137,,,,,0.5,0.0,,,,0.09689004719257355,0.02689737267792225,0.058876246213912964,0.06376174688339276,0.09252171218395233,0.13417788445949555,0.17391178011894226,0.026897262781858444,0.02689737267792225,0.026896577328443527
13,9.70713484711945,0.09069999987259507,0.0917340529121759,0.3,-0.2082659470878241,-0.6942198004854203,-0.6942198004854203,0.09214369207620621,0.0,0.0,False,5.656675966747571e-06,217.56790161132812,0.3033343255519867,-8.572506544624048e-07,0.0,0.05,0.00011288937093922868,0.8,0.0,0.0,0.0005444544367492199,0.0010321984300389886,0.001110775163397193,-1.4648438195763447e-07,0.9999997019767761,4.562515735626221,node_conditioned,25,True,True,False,-7.714590072631836,0.7748795747756958,0.1979851871728897,0.2998576760292053,0.10602384805679321,3.0788042545318604,-22.68352699279785,3.620445728302002,0.2768304754605573,-8.013688087463379,0.21094553172588348,0.0,0.0,0.0,0.0005444544367492199,0.0,0.0,100,0.2,0.1775,0.0,920,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09214369207620621,0.026577681303024292,0.0,mpnn,6,4,16,curvature_attention_max,32,39,368000,none,normalized_version_gap_with_gain,,3680.0,0.44505006074905396,0.44505006074905396,0.3540259003639221,,,,,0.5,0.0,,,,0.09214369207620621,0.026577681303024292,0.058879554271698,0.05940621197223663,0.08620572090148926,0.1319755405187582,0.1741168200969696,0.026577573269605637,0.026577681303024292,0.02657686173915863
14,10.393661873191595,0.09652499980758876,0.09412952635988234,0.3,-0.20587047364011765,-0.6862348892592293,-0.6862348892592293,0.09536604583263397,0.0,0.0,False,5.622286153084133e-06,251.08297729492188,0.31100019812583923,5.80171956698905e-07,0.0,0.05,9.975041029974818e-05,0.8,0.0,0.0,0.001098873559385538,0.0002452701737638563,0.0010281737195327878,-2.3193359766082722e-07,0.9999997019767761,4.0954108238220215,node_conditioned,25,True,True,False,-8.576658248901367,0.8787426948547363,0.21360602974891663,0.3185187578201294,0.11384446173906326,3.69309401512146,-24.559223175048828,4.311213493347168,0.2661933471042819,-8.748064994812012,0.18617263436317444,0.0,0.0,0.0,0.001098873559385538,0.0,0.0,100,0.2,0.1825,0.0,976,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09536604583263397,0.02578236721456051,0.0,mpnn,6,4,16,curvature_attention_max,32,39,390400,none,normalized_version_gap_with_gain,,3904.0,0.453183114528656,0.453183114528656,0.36300650238990784,,,,,0.5,0.0,,,,0.09536604583263397,0.02578236721456051,0.058883458375930786,0.06590833663940432,0.08811147511005402,0.12322880923748016,0.17390745878219604,0.025782261043787003,0.02578236721456051,0.02578153647482395
15,9.716880307421087,0.09117499987594783,0.09265226311791508,0.3,-0.2073477368820849,-0.6911590999016464,-0.6911590999016464,0.09127383679151535,0.0,0.0,False,2.710139142436674e-06,212.82952880859375,0.3017817437648773,-1.0652849624648297e-07,0.0,0.05,8.227895887102932e-05,0.8,0.0,0.0,0.0017106570303440094,0.002663511084392667,0.000972728943452239,-1.9531249506599124e-07,0.9999997019767761,4.093193531036377,node_conditioned,25,True,True,False,-9.20129680633545,0.9756731390953064,0.2488764375448227,0.35097450017929077,0.12817172706127167,3.4686291217803955,-23.972410202026367,4.149848937988281,0.3013636891768312,-9.240921974182129,0.2792883515357971,0.0,0.0,0.0,0.0017106570303440094,0.0,0.0,100,0.2,0.1875,0.0,1002,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09127383679151535,0.024651186540722847,0.0,mpnn,6,4,16,curvature_attention_max,32,39,400800,none,normalized_version_gap_with_gain,,4008.0,0.45826268196105957,0.45826268196105957,0.3653058409690857,,,,,0.5,0.0,,,,0.09127383679151535,0.024651186540722847,0.058889538049697876,0.06317415833473206,0.09214667975902557,0.11779905259609223,0.1736355721950531,0.024651087820529938,0.024651186540722847,0.024650385603308678
16,9.831593710388988,0.0936249998351559,0.09313863147653549,0.3,-0.20686136852346448,-0.6895378720936193,-0.6895378720936193,0.09352733939886093,0.0,0.0,False,2.820770077960333e-06,214.57635498046875,0.3075697124004364,-5.48493126473204e-08,0.0,0.05,5.665954085998237e-05,0.8,0.0,0.0,0.0006661323131993413,0.0006446750485338271,0.0008024781127460301,3.540039017480012e-07,0.9999997615814209,3.9771838188171387,node_conditioned,25,True,True,False,-9.988175392150879,1.0336353778839111,0.23325149714946747,0.39452508091926575,0.13108205795288086,3.5347952842712402,-24.8491153717041,4.25060510635376,0.30844455480465316,-10.421957015991211,0.30152419209480286,0.0,0.0,0.0,0.0006661323131993413,0.0,0.0,100,0.2,0.2025,0.0,938,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09352733939886093,0.0223536379635334,0.0,mpnn,6,4,16,curvature_attention_max,32,39,375200,none,normalized_version_gap_with_gain,,3752.0,0.437974214553833,0.437974214553833,0.3471129238605499,,,,,0.5,0.0,,,,0.09352733939886093,0.0223536379635334,0.05885167792439461,0.06456842422485352,0.09244775772094727,0.12289555668830872,0.17349845170974731,0.022353554144501686,0.0223536379635334,0.022352896630764008
17,8.903955819197,0.09572499992791564,0.09443181570222556,0.3,-0.20556818429777443,-0.6852272581516728,-0.6852272581516728,0.09543979167938232,0.0,0.0,False,3.129802507828572e-06,163.8730926513672,0.3111819326877594,1.7756958925474464e-07,0.0,0.05,4.721518780570477e-05,0.8,0.0,0.0,0.0010279210982844234,0.0004950720467604697,0.0007031502318568528,-3.906249901319825e-07,0.9999996423721313,4.513118743896484,node_conditioned,25,True,True,False,-10.72689151763916,1.0184813737869263,0.26792529225349426,0.38172680139541626,0.14127245545387268,2.7872819900512695,-23.894241333007812,3.4634621143341064,0.3523492152608234,-11.04825210571289,0.2624049484729767,0.0,0.0,0.0,0.0010279210982844234,0.0,0.0,100,0.2,0.1875,0.0,1026,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09543979167938232,0.02541223354637623,0.0,mpnn,6,4,16,curvature_attention_max,32,39,410400,none,normalized_version_gap_with_gain,,4104.0,0.49528372287750244,0.49528372287750244,0.39144739508628845,,,,,0.5,0.0,,,,0.09543979167938232,0.02541223354637623,0.0588168203830719,0.059267789125442505,0.09539614617824554,0.12021327018737793,0.17333906888961792,0.025412170216441154,0.02541223354637623,0.025411607697606087
18,9.99593484584242,0.10012499994132668,0.09727840782177612,0.3,-0.20272159217822389,-0.675738618069459,-0.675738618069459,0.09719805419445038,0.0,0.0,False,5.055156861999421e-07,213.3509979248047,0.3158077001571655,1.7869640487333527e-06,0.0,0.05,3.3791955502238125e-05,0.8,0.0,0.0,0.0009373417706228793,0.0013805984053760767,0.0005655854474753141,2.3193359766082722e-07,0.9999997615814209,3.778083562850952,node_conditioned,25,True,True,False,-11.813030242919922,1.2084596157073975,0.2821105718612671,0.41701847314834595,0.1494154930114746,3.7275290489196777,-26.661781311035156,4.598736763000488,0.34300054478095143,-12.155457496643066,0.24187593162059784,0.0,0.0,0.0,0.0009373417706228793,0.0,0.0,100,0.2,0.1675,0.0,952,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score,,,,,,,,,,,,,,,,0.09719805419445038,0.02259545959532261,0.0,mpnn,6,4,16,curvature_attention_max,32,39,380800,none,normalized_version_gap_with_gain,,3808.0,0.45361319184303284,0.45361319184303284,0.3629804849624634,,,,,0.5,0.0,,,,0.09719805419445038,0.02259545959532261,0.05881550908088684,0.06600660681724549,0.09779861569404602,0.12692791223526,0.13940250873565674,0.02259540557861328,0.02259545959532261,0.02259482443332672
