topology,topology_label,model_key,model_label,node_count,update_probability,n_scenarios,mean_VAoI,std_VAoI,ci95_VAoI,mean_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,ci95_action_probability,relative_VAoI_reduction_vs_no_curvature
community,Community topology,ch1_curvature,Ch1 curvature MPNN,100,0.1,5,2.8613216969696973,0.07976100215507055,0.06991360092672003,0.10936799999999999,0.0018274769247243552,0.10887044668197632,0.0018795480831526165,0.04536225992619363
community,Community topology,baseline_curvature,Existing curvature MPNN,100,0.1,5,2.748224484848485,0.10325045920427373,0.09050301783161935,0.12501199999999998,0.0020739949099262524,0.12443700730800629,0.0020257263901372596,0.08309547500032707
community,Community topology,no_curvature,No-curvature MPNN,100,0.1,5,2.997285333333332,0.17721868081372236,0.15533902273546982,0.126332,0.0005958657889155842,0.12590745091438293,0.001078309899786747,0.0
community,Community topology,matched_random,Matched random,100,0.1,5,3.7731969292929284,0.16218925315571364,0.14216514854823042,0.123936,0.002779177713209427,0.12443701773881913,0.0020257287911504126,-0.25887144855064304
random,Random-geometric topology,ch1_curvature,Ch1 curvature MPNN,100,0.1,5,2.4472105454545465,0.16759688686949545,0.14690514848815323,0.110088,0.002132912309121027,0.11049652695655823,0.0017275378942687965,0.01017871655305237
random,Random-geometric topology,baseline_curvature,Existing curvature MPNN,100,0.1,5,2.3981621414141423,0.15784334781024378,0.1383557945559403,0.126604,0.002399360240064003,0.1268092304468155,0.0016610096945729436,0.03001728513411404
random,Random-geometric topology,no_curvature,No-curvature MPNN,100,0.1,5,2.472376161616161,0.25586677847590905,0.22427711986355692,0.12279199999999998,0.0011816443214436418,0.12342202812433242,0.0012197836122258667,0.0
random,Random-geometric topology,matched_random,Matched random,100,0.1,5,3.116201616161617,0.3265934221854049,0.28627175646025443,0.127104,0.0020779475935643814,0.12680922895669938,0.0016609942130948025,-0.2604075644074304
