source,version,generation_slot,completion_slot,delay,completed
1,1,0,106,106,True
8,1,0,99,99,True
16,1,0,158,158,True
25,1,0,99,99,True
32,1,0,99,99,True
34,1,0,110,110,True
35,1,0,99,99,True
39,1,0,99,99,True
40,1,0,99,99,True
50,1,0,163,163,True
53,1,0,163,163,True
4,1,1,106,105,True
17,1,1,106,105,True
21,1,1,106,105,True
24,1,1,99,98,True
28,1,1,131,130,True
31,1,1,99,98,True
35,2,1,99,98,True
36,1,1,99,98,True
51,1,1,110,109,True
69,1,1,110,109,True
74,1,1,110,109,True
75,1,1,110,109,True
81,1,1,110,109,True
88,1,1,110,109,True
96,1,1,110,109,True
2,1,2,131,129,True
11,1,2,106,104,True
14,1,2,99,97,True
22,1,2,158,156,True
35,3,2,99,97,True
36,2,2,99,97,True
46,1,2,99,97,True
50,2,2,163,161,True
52,1,2,70,68,True
56,1,2,110,108,True
80,1,2,110,108,True
89,1,2,163,161,True
5,1,3,106,103,True
21,2,3,106,103,True
24,2,3,99,96,True
30,1,3,99,96,True
56,2,3,110,107,True
66,1,3,110,107,True
67,1,3,163,160,True
71,1,3,110,107,True
77,1,3,110,107,True
88,2,3,110,107,True
96,2,3,110,107,True
35,4,4,99,95,True
73,1,4,70,66,True
84,1,4,110,106,True
91,1,4,110,106,True
0,1,5,158,153,True
5,2,5,106,101,True
13,1,5,106,101,True
21,3,5,106,101,True
32,2,5,99,94,True
34,2,5,110,105,True
36,3,5,99,94,True
37,1,5,106,101,True
42,1,5,99,94,True
47,1,5,99,94,True
51,2,5,110,105,True
54,1,5,110,105,True
55,1,5,110,105,True
57,1,5,163,158,True
62,1,5,110,105,True
66,2,5,110,105,True
81,2,5,110,105,True
82,1,5,163,158,True
86,1,5,110,105,True
87,1,5,163,158,True
5,3,6,106,100,True
7,1,6,106,100,True
27,1,6,101,95,True
31,2,6,106,100,True
34,3,6,110,104,True
36,4,6,106,100,True
83,1,6,163,157,True
88,3,6,110,104,True
13,2,7,106,99,True
14,2,7,99,92,True
35,5,7,99,92,True
41,1,7,106,99,True
45,1,7,99,92,True
53,2,7,163,156,True
63,1,7,163,156,True
71,2,7,110,103,True
73,2,7,70,63,True
88,4,7,110,103,True
2,2,8,131,123,True
7,2,8,106,98,True
12,1,8,106,98,True
16,2,8,158,150,True
21,4,8,106,98,True
30,2,8,99,91,True
31,3,8,106,98,True
49,1,8,99,91,True
65,1,8,163,155,True
81,3,8,110,102,True
7,3,9,106,97,True
8,2,9,106,97,True
17,2,9,106,97,True
30,3,9,99,90,True
32,3,9,99,90,True
34,4,9,110,101,True
35,6,9,106,97,True
46,2,9,99,90,True
76,1,9,110,101,True
89,2,9,163,154,True
91,2,9,110,101,True
8,3,10,106,96,True
9,1,10,99,89,True
12,2,10,106,96,True
22,2,10,158,148,True
23,1,10,99,89,True
33,1,10,106,96,True
41,2,10,106,96,True
44,1,10,99,89,True
57,2,10,163,153,True
58,1,10,110,100,True
60,1,10,110,100,True
61,1,10,163,153,True
65,2,10,163,153,True
73,3,10,70,60,True
76,2,10,110,100,True
91,3,10,110,100,True
15,1,11,106,95,True
29,1,11,99,88,True
52,2,11,70,59,True
93,1,11,70,59,True
18,1,12,110,98,True
37,2,12,106,94,True
48,1,12,110,98,True
69,2,12,110,98,True
73,4,12,70,58,True
95,1,12,110,98,True
0,2,13,158,145,True
3,1,13,101,88,True
22,3,13,158,145,True
33,2,13,106,93,True
38,1,13,99,86,True
45,2,13,106,93,True
56,3,13,110,97,True
59,1,13,110,97,True
75,2,13,110,97,True
81,4,13,110,97,True
82,2,13,163,150,True
90,1,13,110,97,True
11,2,14,106,92,True
32,4,14,99,85,True
34,5,14,110,96,True
39,2,14,99,85,True
42,2,14,99,85,True
44,2,14,106,92,True
53,3,14,163,149,True
61,2,14,163,149,True
90,2,14,110,96,True
93,2,14,70,56,True
1,2,15,106,91,True
5,4,15,106,91,True
17,3,15,106,91,True
24,3,15,99,84,True
42,3,15,99,84,True
44,3,15,106,91,True
48,2,15,110,95,True
55,2,15,110,95,True
60,2,15,110,95,True
91,4,15,163,148,True
96,3,15,110,95,True
42,4,16,99,83,True
44,4,16,106,90,True
56,4,16,110,94,True
58,2,16,110,94,True
86,2,16,110,94,True
90,3,16,110,94,True
96,4,16,110,94,True
1,3,17,106,89,True
14,3,17,106,89,True
22,4,17,158,141,True
25,2,17,99,82,True
29,2,17,106,89,True
40,2,17,99,82,True
51,3,17,110,93,True
68,1,17,110,93,True
71,3,17,110,93,True
74,2,17,163,146,True
26,1,18,99,81,True
37,3,18,106,88,True
41,3,18,106,88,True
54,2,18,110,92,True
66,3,18,110,92,True
69,3,18,110,92,True
72,1,18,110,92,True
87,2,18,163,145,True
95,2,18,110,92,True
0,3,19,158,139,True
2,3,19,131,112,True
27,2,19,101,82,True
42,5,19,99,80,True
75,3,19,110,91,True
76,3,19,110,91,True
87,3,19,163,144,True
26,2,20,99,79,True
29,3,20,106,86,True
43,1,20,106,86,True
56,5,20,110,90,True
62,2,20,163,143,True
0,4,21,158,137,True
1,4,21,106,85,True
52,3,21,163,142,True
53,4,21,163,142,True
57,3,21,163,142,True
65,3,21,163,142,True
75,4,21,110,89,True
91,5,21,163,142,True
2,4,22,131,109,True
28,2,22,131,109,True
62,3,22,163,141,True
66,4,22,110,88,True
76,4,22,110,88,True
77,2,22,110,88,True
81,5,22,110,88,True
91,6,22,163,141,True
6,1,23,101,78,True
25,3,23,99,76,True
36,5,23,106,83,True
45,3,23,106,83,True
61,3,23,163,140,True
65,4,23,163,140,True
76,5,23,110,87,True
87,4,23,163,140,True
93,3,23,110,87,True
24,4,24,158,134,True
25,4,24,99,75,True
32,5,24,99,75,True
37,4,24,110,86,True
54,3,24,110,86,True
58,3,24,163,139,True
62,4,24,163,139,True
79,1,24,110,86,True
81,6,24,110,86,True
94,1,24,163,139,True
7,4,25,106,81,True
13,3,25,106,81,True
20,1,25,99,74,True
23,2,25,99,74,True
45,4,25,106,81,True
62,5,25,163,138,True
74,3,25,163,138,True
76,6,25,110,85,True
84,2,25,163,138,True
11,3,26,106,80,True
12,3,26,110,84,True
14,4,26,106,80,True
56,6,26,110,84,True
86,3,26,110,84,True
98,1,26,110,84,True
1,5,27,106,79,True
3,2,27,101,74,True
8,4,27,106,79,True
11,4,27,106,79,True
