slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,9.524848484848485,16.0,15.0,16.0,15.381818181818181,48.8569696969697,3,28,3,54,245,10.0592,16.0,9.6068,16.0
51,9.779595959595959,16.0,15.0,16.0,15.761616161616162,49.725151515151516,2,21,2,53,349,10.3192,16.0,9.9268,16.0
52,10.00070707070707,17.0,16.0,16.0,16.177777777777777,50.6839393939394,1,8,1,8,88,10.5192,17.0,10.1824,16.0
53,10.164848484848484,17.0,16.0,17.0,16.35151515151515,51.64616161616161,2,25,2,22,58,10.6992,17.0,10.3424,17.0
54,10.374848484848485,17.0,16.0,17.0,16.535353535353536,52.64616161616161,0,0,0,0,0,11.0392,17.0,10.4224,17.0
55,10.545555555555556,17.0,16.0,17.0,16.91111111111111,53.534343434343434,2,12,2,51,290,11.2192,17.0,10.572,17.0
56,10.641717171717172,17.0,16.0,17.0,16.91111111111111,54.35848484848485,2,23,2,48,434,11.3392,17.0,10.732,17.0
57,10.813838383838384,17.0,17.0,17.0,17.0,55.23717171717172,1,13,1,28,177,11.5592,17.0,10.892,17.0
58,11.035252525252526,18.0,17.0,18.0,17.34949494949495,56.18090909090909,3,21,3,22,85,11.7792,18.0,11.1276,18.0
59,11.245252525252525,18.0,17.0,18.0,17.490909090909092,57.18090909090909,0,0,0,0,0,12.0192,18.0,11.3076,18.0
60,11.483838383838384,19.0,17.0,18.0,17.866666666666667,58.07939393939394,1,13,1,20,212,12.3592,19.0,11.4876,18.0
61,11.673838383838383,19.0,17.0,18.0,18.050505050505052,59.07939393939394,0,0,0,0,0,12.5792,19.0,11.6476,18.0
62,11.885757575757577,19.0,17.0,19.0,18.25050505050505,60.04858585858586,1,5,1,5,80,12.8392,19.0,11.8276,18.0
63,12.045757575757575,19.0,18.0,19.0,18.517171717171717,61.04858585858586,0,0,0,0,0,13.0592,19.0,11.9276,18.0
64,12.274848484848485,19.0,18.0,19.0,18.717171717171716,61.91979797979798,2,16,2,45,306,13.2592,19.0,12.2476,19.0
65,12.434848484848485,20.0,18.0,19.0,18.892929292929292,62.91979797979798,0,0,0,0,0,13.4392,20.0,12.3876,19.0
66,12.571818181818182,20.0,18.0,19.0,18.892929292929292,63.89151515151515,1,10,1,10,30,13.5192,20.0,12.5876,19.0
67,12.758181818181818,20.0,19.0,20.0,19.375757575757575,64.8769696969697,1,12,1,12,36,13.6792,20.0,12.8076,19.0
68,12.932020202020203,21.0,19.0,20.0,19.53939393939394,65.80484848484849,2,14,2,34,160,13.8304,21.0,12.9944,19.0
69,13.04020202020202,21.0,19.0,20.0,19.53939393939394,66.55909090909091,3,33,3,70,414,14.0104,21.0,13.1144,19.0
70,13.330505050505051,21.0,19.0,21.0,20.107070707070708,67.5139393939394,1,6,1,9,96,14.2904,21.0,13.4344,20.0
71,13.526363636363635,21.0,20.0,21.0,20.36969696969697,68.44848484848485,1,4,1,18,140,14.5504,21.0,13.568,20.0
72,13.6610101010101,21.0,20.0,21.0,20.36969696969697,69.28878787878787,1,11,1,32,350,14.7504,21.0,13.708,20.0
73,13.781717171717172,21.0,20.0,21.0,20.553535353535352,70.23131313131313,1,7,1,9,92,14.8704,21.0,13.848,20.0
74,13.921717171717171,22.0,20.0,21.0,20.723232323232324,71.23131313131313,0,0,0,0,0,15.0304,22.0,13.968,20.0
75,14.031717171717172,22.0,20.0,22.0,21.123232323232322,72.23131313131313,0,0,0,0,0,15.1104,22.0,14.108,21.0
76,14.181212121212122,22.0,20.0,22.0,21.123232323232322,73.08444444444444,1,8,1,27,302,15.2904,22.0,14.288,21.0
77,14.277373737373738,23.0,21.0,22.01000000000022,21.953535353535354,73.53727272727272,3,34,3,116,1028,15.4904,23.0,14.488,22.0
78,14.434141414141415,23.0,21.0,23.0,22.305050505050506,74.40353535353535,1,10,1,18,230,15.6304,23.0,14.708,22.0
79,14.552121212121213,23.0,22.0,23.0,22.583838383838383,75.3949494949495,1,5,1,5,20,15.7104,23.0,14.868,23.0
80,14.682525252525252,23.0,22.0,23.0,22.583838383838383,76.35292929292929,2,11,2,11,95,15.8704,23.0,14.988,23.0
81,14.83939393939394,24.0,22.0,23.01000000000022,22.783838383838383,77.0439393939394,1,10,1,85,625,16.0304,23.0,15.268,24.0
82,15.01939393939394,24.0,22.0,23.01000000000022,22.783838383838383,78.0439393939394,0,0,0,0,0,16.1704,23.0,15.488,24.0
83,15.23939393939394,25.0,22.0,24.01000000000022,23.183838383838385,79.0439393939394,0,0,0,0,0,16.3104,24.0,15.788,25.0
84,15.379393939393939,25.0,22.0,25.0,23.545454545454547,80.0439393939394,0,0,0,0,0,16.4104,25.0,15.968,25.0
85,15.505555555555556,25.0,22.0,25.0,23.88282828282828,80.70959595959596,3,24,3,98,731,16.6504,25.0,16.018,25.0
86,15.6910101010101,25.0,22.0,25.0,23.88282828282828,81.64414141414142,1,8,1,8,144,16.8904,25.0,16.178,25.0
87,15.972424242424243,26.0,23.0,25.01000000000022,24.34141414141414,82.61080808080808,1,7,1,11,85,17.1504,25.0,16.498,26.0
88,16.026969696969697,26.0,23.0,25.01000000000022,24.33131313131313,82.71565656565656,4,34,4,191,1836,17.4304,25.0,16.698,26.0
89,16.176161616161615,27.0,23.0,25.020000000000437,24.53131313131313,83.36151515151515,1,8,1,75,701,17.5704,25.0,16.998,27.0
90,16.376161616161617,27.0,23.0,25.020000000000437,24.711111111111112,84.36151515151515,0,0,0,0,0,17.7904,25.0,17.178,27.0
91,16.556161616161617,27.0,23.0,25.020000000000437,24.87070707070707,85.36151515151515,0,0,0,0,0,17.9104,25.0,17.418,27.0
92,16.746161616161615,27.0,24.0,26.01000000000022,25.15959595959596,86.36151515151515,0,0,0,0,0,18.1304,26.0,17.578,27.0
93,16.966161616161617,28.0,24.0,26.020000000000437,25.55959595959596,87.36151515151515,0,0,0,0,0,18.3504,26.0,17.798,28.0
94,17.161313131313133,29.0,24.0,26.030000000000655,26.11111111111111,88.24939393939394,1,8,1,36,246,18.5504,26.0,17.994,29.0
