topology_seed,channel_seed,update_seed,policy,slot,node,fresh_score,orc_score,base_probability,backoff_factor,final_probability
2,0,0,freshness_backoff,50,0,0.4366379923242304,,0.14483413655794194,0.35867048107371635,0.051947729435133365
2,0,0,freshness_backoff,50,1,0.5120925677494707,,0.1824145543939746,0.3538417318067491,0.0645458818335204
2,0,0,freshness_backoff,50,2,0.5049219858054781,,0.17867016413122266,0.3491645082510332,0.062385279998009746
2,0,0,freshness_backoff,50,3,0.6519219858054781,,0.25839777657267243,0.3600072400321628,0.09302507037437525
2,0,0,freshness_backoff,50,4,0.6290925677494706,,0.24597275764244536,0.324880134884429,0.07991166268077261
2,0,0,freshness_backoff,50,5,0.5330925677494707,,0.1935403122056396,0.34646427365081506,0.0670548036904789
2,0,0,freshness_backoff,50,6,0.4276379923242304,,0.1406629788364009,0.3535820513911288,0.04973590461176156
2,0,0,freshness_backoff,50,7,0.5150925677494707,,0.1839898858184719,0.350589745534585,0.0645049672500354
2,0,0,freshness_backoff,50,8,0.4910925677494707,,0.1715384124521642,0.3502727047881513,0.06008522370468505
2,0,0,freshness_backoff,50,9,0.4820925677494707,,0.1669660655426187,0.35088427002396744,0.058585766026695664
2,0,0,freshness_backoff,50,10,0.5630925677494707,,0.20975832213348708,0.3509672098465697,0.07361829306128792
2,0,0,freshness_backoff,50,11,0.5300925677494707,,0.19193765161923168,0.34481056254291564,0.06618212962799344
2,0,0,freshness_backoff,50,12,0.5945737064824407,,0.22701572162781733,0.33938061316055235,0.07704473480313391
2,0,0,freshness_backoff,50,13,0.5585737064824408,,0.20729665157078456,0.35184857720369483,0.07293703191427062
2,0,0,freshness_backoff,50,14,0.4880925677494707,,0.17000800571171434,0.3338478504342593,0.05675680726347111
2,0,0,freshness_backoff,50,15,0.5345737064824407,,0.19433304759455472,0.3604451248177318,0.07004639959642948
2,0,0,freshness_backoff,50,16,0.46363799232423036,,0.15777727385851553,0.34800147202397624,0.054906723554693435
2,0,0,freshness_backoff,50,17,0.46023676709842326,,0.1561128907215448,0.3464280927848474,0.054081890991794064
2,0,0,freshness_backoff,50,18,0.5255714496710638,,0.18953027790412907,0.34228757761105233,0.0648738597077539
2,0,0,freshness_backoff,50,19,0.4970925677494707,,0.17461742562825858,0.35144605019098746,0.06136860453156998
2,0,0,freshness_backoff,50,20,0.5056379923242303,,0.17904268540325097,0.35143606449334597,0.06292205673443876
2,0,0,freshness_backoff,50,21,0.6290925677494706,,0.24597275764244536,0.3429773400620775,0.08436308214393995
2,0,0,freshness_backoff,50,22,0.6290925677494706,,0.24597275764244536,0.3653785220619916,0.08987316265490913
2,0,0,freshness_backoff,50,23,0.6725737064824407,,0.26948324471410284,0.3419938718288802,0.09216161825278564
2,0,0,freshness_backoff,50,24,0.4820925677494707,,0.1669660655426187,0.3489701017159833,0.05826616487552518
2,0,0,freshness_backoff,50,25,0.5450925677494707,,0.19998917055438128,0.35389807882078284,0.07077578324415741
2,0,0,freshness_backoff,50,26,0.5570925677494707,,0.20649101227054575,0.3400488577917359,0.0702170328668584
2,0,0,freshness_backoff,50,27,0.5000925677494706,,0.1761657552655019,0.3421839474881315,0.06028109354897753
2,0,0,freshness_backoff,50,28,0.4246379923242304,,0.1392892713983478,0.3248302982007264,0.045245375564487225
2,0,0,freshness_backoff,50,29,0.46857144967106384,,0.1602079675893705,0.37367462198561713,0.05986565172804202
2,0,0,freshness_backoff,50,30,0.5270925677494707,,0.1903391447260275,0.3414633579148588,0.06499384350079164
2,0,0,freshness_backoff,50,31,0.5315737064824407,,0.19272839692571894,0.3647721385404991,0.07030194950407666
2,0,0,freshness_backoff,50,32,0.5120925677494707,,0.1824145543939746,0.3571222691899432,0.06514429959844854
2,0,0,freshness_backoff,50,33,0.5079219858054781,,0.18023304859609254,0.3572368119617187,0.06438587969060962
2,0,0,freshness_backoff,50,34,0.5259219858054781,,0.1897165788140129,0.33491593267548037,0.06353910493749641
2,0,0,freshness_backoff,50,35,0.5529219858054781,,0.20422599067190272,0.34428100288896857,0.07031112888451581
2,0,0,freshness_backoff,50,36,0.4246379923242304,,0.1392892713983478,0.32325062865856546,0.04502534454490947
2,0,0,freshness_backoff,50,37,0.5435737064824407,,0.1991697702543229,0.355547883850021,0.07081439034081936
2,0,0,freshness_backoff,50,38,0.6290925677494706,,0.24597275764244536,0.34277877310440047,0.08431424008178347
